cMVAv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
3, iterativefit, central, 1, 0.0, 2.4, 20.0, 10000, -15, 1.1, "1.0"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -1.1, -0.90455, "1.12866"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -0.90455, -0.69375, "1.31595+0.215412*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -0.69375, -0.50235, "0.910784+-0.368616*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -0.50235, -0.33035, "1.15547+0.118465*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -0.33035, -0.15845, "0.950126+-0.503127*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -0.15845, 0.01345, "1.1261+0.60747*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.01345, 0.18535, "1.14505+-0.801122*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.18535, 0.35725, "1.06396+-0.363656*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.35725, 0.4932, "0.917864+0.0452925*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.4932, 0.5932, "0.769251+0.346617*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.5932, 0.6932, "0.739343+0.397036*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.6932, 0.7932, "1.66763+-0.9421*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.7932, 0.8932, "0.935658+-0.0192884*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.8932, 0.9498, "0.406246+0.573424*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.9498, 0.9631, "5.13085+-4.40089*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.9631, 0.9765, "-2.61249+3.63913*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.9765, 0.9899, "6.25779+-5.44462*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.9899, 1.0033, "2.09662+-1.241*x"
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 1.0033, 1.1, "0.85727"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, -1.1, -0.90455, "0.778528"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, -0.90455, -0.69375, "2.46471+1.86995*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, -0.69375, -0.50235, "1.18714+0.0284016*x"
3, iterativefit, up_jes, 0, 0.0, 2.4, 20, 30, -0.50235, -0.33035, "0.899852+-0.543492*x"
